word,freq
저, 5
적, 3
다운로드, 1
필드, 1
전, 1
루미, 1
초반, 3
철학사, 1
부분, 1
정, 3
지지, 1
페미니스트, 1
아이작, 2
제, 3
컴퓨터, 2
국전, 1
상태, 1
전쟁, 2
화이트, 2
만큼, 1
으러, 1
회피, 2
맥북, 1
인사, 1
시작, 22
댄스, 4
화가, 1
기록, 1
퐁퐁, 1
파리, 1
생애, 1
잠도, 2
선악, 1
근원, 1
룸메, 1
주말, 2
관악, 2
알바, 3
프리미엄, 1
인상, 2
로, 5
영국사, 1
홍보, 1
국정, 1
끝, 2
도시락, 1
과연, 2
엘더, 1
하프라이프, 1
서브, 1
기사, 1
똥누, 1
노답, 3
영화, 2
예약, 3
번가, 1
동선, 1
아따, 1
버거, 1
오디세이, 2
인생, 1
글빨, 1
동네, 2
좀, 9
진짜, 16
비빔, 1
이름, 2
라이트, 2
청소기, 1
아하, 1
월드, 3
구조, 1
섹스, 2
후원, 1
나, 8
아아, 1
세트, 1
컨텐츠, 3
난, 1
테큐, 2
날씨, 1
날, 6
키, 3
식도염, 1
남, 1
사, 2
새끼, 1
킬, 1
낮, 3
회귀, 1
어퍼컷, 4
물건, 1
치가, 1
삽질, 3
내, 10
살, 1
둘째, 1
차량, 1
킹, 1
열정, 1
텅텅, 1
테크, 2
레거시, 1
유도, 1
가격, 1
삽, 1
로얄, 1
아이맥스, 2
타, 1
고통, 1
덩케르크, 3
등장, 1
기준, 1
가드, 2
부트캠프, 1
니스, 1
차라리, 1
세대, 1
문과, 1
스케일, 1
리트윗, 2
출시, 3
어디가, 2
출신, 1
중략, 2
기네, 1
일요일, 1
우리, 1
중학교, 1
수정, 1
오늘, 13
방전, 1
항상, 2
어제, 3
통가, 1
포코, 1
노가다, 1
추가, 2
팀포, 1
주, 1
거의, 8
죽, 1
다음, 1
줄, 2
비빔면, 1
너, 1
근래, 1
아마존, 2
로그, 1
넌, 1
중, 3
스쿼트, 6
심지어, 1
해렁, 1
베리, 2
선, 2
어크, 1
포장, 1
갤럭시, 2
스스로, 1
터, 1
안해, 1
핸드폰, 1
재부팅, 1
기념, 1
사무실, 1
세, 2
쭉쭉, 1
거래, 1
에피타이저, 1
촘촘하, 1
년, 1
기숙사, 1
라테, 1
셈, 1
소셜, 1
플레이, 2
구성, 1
인지, 1
유산균, 1
강습, 1
초안, 1
저녁, 1
온라인, 1
몰입도, 1
수록, 1
허브, 1
우투, 1
멘탈, 6
블프, 1
가야, 2
무기, 2
신천지, 1
교체, 1
아기, 1
노, 1
결제, 1
능이, 1
언제, 3
를, 5
재미나다, 3
거적, 1
연속, 10
거저, 1
리얼, 1
도고, 1
줏상, 1
기질, 1
속, 1
평창, 2
험블번들, 2
손, 3
추천, 1
부위, 1
악기, 2
이면, 1
카르, 1
파판, 2
실제, 3
송, 1
대체, 1
톤, 1
계열, 1
퍼블리, 2
일리, 2
사고, 2
설치, 1
리, 3
이야기, 2
동면, 1
멀미, 2
진심, 1
파이썬, 1
코카, 1
아침, 2
