word,freq
초반, 3
아이작, 2
컴퓨터, 2
전쟁, 2
화이트, 2
회피, 2
시작, 22
댄스, 4
잠도, 2
주말, 2
관악, 2
알바, 3
인상, 2
과연, 2
노답, 3
영화, 2
예약, 3
오디세이, 2
동네, 2
진짜, 16
이름, 2
라이트, 2
월드, 3
섹스, 2
컨텐츠, 3
테큐, 2
어퍼컷, 4
삽질, 3
테크, 2
아이맥스, 2
덩케르크, 3
가드, 2
리트윗, 2
출시, 3
어디가, 2
중략, 2
오늘, 13
항상, 2
어제, 3
추가, 2
거의, 8
아마존, 2
스쿼트, 6
베리, 2
갤럭시, 2
플레이, 2
멘탈, 6
가야, 2
무기, 2
언제, 3
재미나다, 3
연속, 10
평창, 2
험블번들, 2
악기, 2
파판, 2
실제, 3
퍼블리, 2
일리, 2
사고, 2
이야기, 2
멀미, 2
아침, 2
전기가오리, 2
나이, 2
엔딩, 3
재미, 4
아캄, 2
눈팅, 2
근로, 4
그냥, 6
프랑스, 3
장학생, 2
점점, 4
달인, 2
다크, 5
시즌, 7
애니메이션, 3
포탈, 2
장학, 2
매장, 2
비타민, 2
외갓집, 3
주제가, 3
호리, 4
라면, 3
모레, 3
인식, 2
가요, 2
친구, 2
허벅지, 3
진도, 2
아이, 4
원인, 2
공주, 2
세이브, 2
피트니스, 17
원래, 2
락스, 4
연습, 4
미러, 2
예전, 2
풀이, 2
일단, 3
영상, 2
제일, 2
고민, 2
완료, 2
최고, 2
고객, 2
거리, 3
팔로워, 3
뭔가, 2
바퀴벌레, 2
시트, 2
트윗, 6
어스, 2
슈퍼마리오, 2
스위치, 12
이번, 6
가입, 2
케이스, 2
자서, 2
레슨, 3
콜라, 2
오케스트라, 2
자원봉사, 3
회사, 2
기간, 2
계정, 2
넷플릭스, 3
직구, 2
학기, 8
팔로잉, 3
문제, 4
나름, 4
일찍, 3
별로, 2
무료, 2
블랙, 2
주행, 2
아주, 4
종강, 2
밸런스, 2
동아리, 3
정말, 5
퍼큘, 2
매직, 2
트위터, 18
지금, 6
포트, 4
진행, 5
패스, 2
게임, 13
다시, 10
오브, 2
얼마나, 2
사람, 7
인터넷, 3
사랑, 2
배틀, 2
복싱, 17
화로, 2
스모, 2
취향, 2
캐릭터, 2
시간, 11
저격, 2
스팀, 2
올림픽, 2
필름, 2
마지막, 2
중간, 2
드라마, 2
안드로이드, 2
울프, 2
계속, 6
연애, 3
순간, 2
일주일, 3
제대로, 2
장난, 6
기억, 3
버즈, 2
요즘, 15
그것, 2
해결, 3
처음, 5
루즈, 3
미스, 5
명작, 2
어플, 2
코스, 8
신체, 2
학점, 5
개막식, 3
상황, 2
신청, 2
폭발, 2
무슨, 2
전부, 2
사서, 2
바람, 2
강의, 2
물집, 2
할인, 2
위처, 2
마무리, 2
야간, 4
옥자, 3
에피소드, 2
건가, 2
그동안, 2
비밀, 3
이유, 2
브라질, 2
단간론파, 3
시험, 5
답니, 2
점검, 2
아무, 3
군함도, 2
직전, 2
보고, 4
진행중, 2
판이, 2
파우치, 2
사막, 3
선풍기, 3
독립, 2
세상, 2
일어나서, 2
배경, 2
소울, 5
보디, 4
버스, 2
난이도, 2
악세사리, 3
액정, 2
동작, 9
생각, 14
타임, 3
택배, 2
막장, 2
갑자기, 4
서버, 2
레프트, 2
수영, 2
나이트, 4
크라운, 4
작품, 2
버거킹, 2
판정, 4
키스트, 2
잠시, 2
이제, 7
알티, 2
스토리, 3
자고, 2
칼로리, 2
차카, 2
젤다, 8
연휴, 2
개정, 2
센터, 2
간다, 2
때문, 3
도시, 2
저스트, 4
우울증, 10
태고, 2
참고, 2
파이널판타지, 2
의미, 2
던전, 2
위빙, 3
배그, 2
느낌, 4
더킹, 7
미드, 2
거치, 2
